Budget,Release Year,Revenue,Title,Starring Actors Popularity,profit
66000000,2004,99318987,Hellboy,318.3272139,33318987
70000000,2006,38629478,Basic Instinct 2,986.5534604,-31370522
70000000,2006,154937680,Dreamgirls,5543.422892,84937680
31500000,1979,89460381,Apocalypse Now,1784.445588,57960381
55000000,1998,198685114,City of Angels,1598.052396,143685114
55000000,1998,41610884,Ronin,1347.456142,-13389116
60000000,2001,93375151,Cats & Dogs,3319.572531,33375151
60000000,2001,484409218,Shrek,3134.133338,424409218
60000000,2001,313542341,A Beautiful Mind,926.1735261,253542341
60000000,2001,56359980,15 Minutes,2223.335365,-3640020
60000000,2001,105178561,Along Came a Spider,2477.711179,45178561
50000000,1995,287928194,Casper,77.72183203,237928194
50000000,1995,10382407,The Scarlet Letter,1902.239061,-39617593
50000000,1995,189859560,Outbreak,1920.630837,139859560
50000000,1995,9851610,Jade,0.0,-40148390
50000000,1995,152022101,Congo,181.8067894,102022101
50000000,1995,30303072,Assassins,2519.798762,-19696928
53000000,1997,139804348,Anastasia,2221.249297,86804348
65000000,2004,128905366,Blade: Trinity,702.6652827,63905366
65000000,2004,217764291,Collateral,6738.964395,152764291
75000000,2009,61458982,Funny People,2333.140931,-13541018
75000000,2009,443140005,Alvin and the Chipmunks: The Squeakquel,609.6366913,368140005
45000000,1992,178051587,Patriot Games,7161.434027,133051587
70000000,2007,135560026,Stardust,1141.115322,65560026
70000000,2007,195735876,Beowulf,2145.275901,125735876
70000000,2007,442824138,The Bourne Ultimatum,3674.70897,372824138
70000000,2007,53587404,Dragon Wars: D-War,253.2723203,-16412596
70000000,2007,86658558,The Kingdom,1044.75035,16658558
55000000,1999,100230832,Any Given Sunday,1812.633643,45230832
60000000,2002,165333180,The Scorpion King,455.4417023,105333180
60000000,2002,93354918,Two Weeks Notice,1698.852383,33354918
60000000,2002,43061982,Reign of Fire,1043.914953,-16938018
60000000,2002,214034224,The Bourne Identity,2341.091186,154034224
60000000,2002,52322400,Dragonfly,3404.83082,-7677600
60000000,2002,55003135,Analyze That,2371.674478,-4996865
60000000,2002,67312826,Star Trek: Nemesis,1680.40694,7312826
20000000,1965,15473333,The Greatest Story Ever Told,0.0,-4526667
50000000,1996,75000000,The Ghost and the Darkness,1520.384512,25000000
50000000,1996,273552592,Jerry Maguire,3672.131329,223552592
50000000,1996,150270147,Broken Arrow,1014.317692,100270147
50000000,1996,113309743,Striptease,1880.666568,63309743
50000000,1996,42277365,Escape from L.A.,396.4417057,-7722635
50000000,1996,60209334,Chain Reaction,2376.200591,10209334
32000000,1981,40382659,Reds,317.1127344,8382659
65000000,2005,64321501,Zathura: A Space Adventure,100.2105314,-678499
37000000,1986,37962774,Howard the Duck,1059.477235,962774
59000000,2002,383257136,Ice Age,700.6178496,324257136
40000000,1989,332000000,Back to the Future Part II,1083.70203,292000000
45000000,1993,195268056,The Pelican Brief,1718.007752,150268056
57000000,2001,16991902,Rock Star,886.3693462,-40008098
57000000,2001,62112895,Captain Corelli's Mandolin,2538.68302,5112895
57000000,2001,147845033,The Mexican,4022.445027,90845033
70000000,2008,111231041,Fool's Gold,1543.897256,41231041
70000000,2008,113280098,Body of Lies,4548.639108,43280098
70000000,2008,225990978,Yes Man,4512.475253,155990978
70000000,2008,72108608,Babylon A.D.,1860.257602,2108608
52000000,1998,98126565,The Thin Red Line,316.4181956,46126565
19000000,1964,4750000,The Fall of the Roman Empire,510.2215991,-14250000
55000000,2000,56932305,Shanghai Noon,600.161823,1932305
55000000,2000,330444045,Meet the Parents,1648.536761,275444045
46000000,1994,341631208,The Flintstones,314.527313,295631208
60000000,2003,26288320,Sinbad: Legend of the Seven Seas,3502.274821,-33711680
60000000,2003,119940815,Intolerable Cruelty,2023.902905,59940815
60000000,2003,176070171,The Italian Job,1433.686784,116070171
60000000,2003,74208267,The Core,495.1428968,14208267
60000000,2003,96269812,Paycheck,2544.611194,36269812
60000000,2003,164433867,Daddy Day Care,4056.674213,104433867
50000000,1997,314178011,As Good as It Gets,1731.654714,264178011
50000000,1997,48169156,G.I. Jane,2228.336025,-1830844
50000000,1997,109423648,The Game,1527.211336,59423648
50000000,1997,50068310,Absolute Power,1917.033886,68310
50000000,1997,10541523,Mad City,2176.262445,-39458477
67000000,2007,25037897,Grindhouse,1113.78237,-41962103
67000000,2007,25303038,The Last Legion,847.2561182,-41696962
65000000,2006,43545364,We Are Marshall,1433.731563,-21454636
65000000,2006,422610419,300,516.2451245,357610419
44000000,1993,368875760,The Fugitive,7344.929054,324875760
40000000,1990,244527583,Back to the Future Part III,1634.650885,204527583
45000000,1994,117615211,The Client,1295.648873,72615211
45000000,1994,170362582,The Specialist,2244.578532,125362582
45000000,1994,788241776,The Lion King,263.7132797,743241776
70000000,2009,171844840,Couples Retreat,1793.705815,101844840
70000000,2009,319131050,Inglourious Basterds,6062.112498,249131050
70000000,2009,104945765,Planet 51,1018.522013,34945765
70000000,2009,39041505,Agora,932.4444758,-30958495
64000000,2006,101595121,Little Man,363.3844072,37595121
62000000,2005,52304001,Æon Flux,964.190716,-9695999
32350000,1983,572700000,Return of the Jedi,4933.566168,540350000
60000000,2004,219417255,The Terminal,6847.670612,159417255
60000000,2004,13395939,Alfie,675.3148957,-46604061
60000000,2004,74541707,Ladder 49,2400.693104,14541707
60000000,2004,61347797,After the Sunset,3531.254639,1347797
60000000,2004,256697520,The Village,1498.709998,196697520
60000000,2004,170268750,Starsky & Hutch,1493.6708,110268750
50000000,1998,44547681,The Negotiator,1549.739288,-5452319
50000000,1998,202292902,Patch Adams,3763.785314,152292902
47000000,1996,12379402,Mary Reilly,1982.299333,-34620598
47000000,1996,102825796,The Cable Guy,2368.50406,55825796
65000000,2007,84785914,Zodiac,1167.102158,19785914
63000000,2006,162945894,World Trade Center,3051.897353,99945894
40000000,1991,205405498,JFK,1093.762779,165405498
45000000,1995,20350754,Showgirls,132.2650492,-24649246
52000000,2000,256271286,Erin Brockovich,3690.701496,204271286
55000000,2002,6416302,D-Tox,2507.139034,-48583698
55000000,2002,154906693,Maid in Manhattan,1285.44057,99906693
46000000,1996,100860818,Courage Under Fire,1285.898098,54860818
46000000,1996,150000000,Star Trek: First Contact,227.3571661,104000000
60000000,2005,71073932,xXx: State of the Union,3620.5376,11073932
60000000,2005,55987321,Doom,632.6171082,-4012679
60000000,2005,129181830,Cheaper by the Dozen 2,771.9186163,69181830
42000000,1993,270248367,The Firm,2925.617663,228248367
50000000,1999,73956241,The Hurricane,1618.05838,23956241
50000000,1999,58900031,The Story of Us,3526.877004,8900031
53000000,2001,29700000,Angel Eyes,683.7510517,-23300000
53000000,2001,83282296,Blow,652.5421291,30282296
65000000,2008,128107642,Step Brothers,1064.835632,63107642
56000000,2003,12923936,Gods and Generals,957.7761081,-43076064
44000000,1995,13681765,Nixon,1394.205785,-30318235
51000000,2000,149270999,"Me, Myself & Irene",3210.630405,98270999
52500000,2001,179213434,Moulin Rouge!,1538.255659,126713434
48000000,1998,77745568,Out of Sight,467.7651559,29745568
54000000,2002,155010032,Blade II,493.0637771,101010032
17000000,1963,10000000,55 Days at Peking,191.7859152,-7000000
40000000,1992,75505856,The Last of the Mohicans,5.429120879,35505856
40000000,1992,70100000,Boomerang,1738.239269,30100000
40000000,1992,243240178,A Few Good Men,2480.8763,203240178
40000000,1992,107458785,A League of Their Own,484.3832601,67458785
40000000,1992,14358033,Memoirs of an Invisible Man,233.1410886,-25641967
40000000,1992,215862692,Dracula,654.6342935,175862692
45000000,1996,53854588,Tin Cup,3472.942138,8854588
45000000,1996,17300889,The Phantom,0.0,-27699111
57000000,2004,28283637,Thunderbirds,0.0,-28716363
55000000,2003,34234008,The Hunted,3866.958043,-20765992
55000000,2003,231449203,American Wedding,873.6637812,176449203
55000000,2003,33828318,Stuck on You,2805.075562,-21171682
60000000,2006,17800000,Flyboys,1151.308108,-42200000
60000000,2006,77920346,The Sentinel,1819.273892,17920346
58000000,2005,102854431,Just Like Heaven,792.1299989,44854431
20000000,1969,31678778,Paint Your Wagon,116.3453159,11678778
65000000,2009,93525586,The Lovely Bones,2047.264581,28525586
65000000,2009,44091067,Astro Boy,3469.649525,-20908933
56000000,2004,57223890,Walking Tall,367.2259443,1223890
61000000,2007,95696996,Shooter,1682.752814,34696996
38000000,1991,34416893,The Doors,802.894655,-3583107
44000000,1996,165615285,Sleepers,1342.73804,121615285
48000000,1999,124305181,The Thomas Crown Affair,2354.300944,76305181
54000000,2003,7266209,Gigli,2544.611194,-46733791
17000000,1964,72070731,My Fair Lady,343.3164068,55070731
45000000,1997,136885767,Anaconda,915.8488236,91885767
45000000,1997,181000000,Liar Liar,2507.059011,136000000
45000000,1997,2154540,Shadow Conspiracy,1140.677519,-42845460
57000000,2005,52034889,Elizabethtown,3154.029588,-4965111
28000000,1981,195312802,For Your Eyes Only,1975.332629,167312802
52000000,2002,352114312,Catch Me If You Can,6340.246738,300114312
62000000,2008,41819064,The Love Guru,4072.923767,-20180936
60000000,2007,361366633,Alvin and the Chipmunks,150.0829318,301366633
60000000,2007,137587063,Bridge to Terabithia,792.6394099,77587063
27000000,1980,115229890,The Blues Brothers,524.3779626,88229890
50000000,2001,79958599,Exit Wounds,463.2839823,29958599
50000000,2001,100020092,Don't Say a Word,1904.595022,50020092
35000000,1989,411348924,Batman,432.4770924,376348924
56000000,2005,113006880,The Pacifier,1826.60862,57006880
31000000,1985,128499205,Out of Africa,732.8589795,97499205
48000000,2000,90383208,Bedazzled,176.3902578,42383208
48000000,2000,207515725,Traffic,1607.557892,159515725
40000000,1994,24332324,Renaissance Man,1245.851235,-15667676
45000000,1998,131183530,Blade,127.2216077,86183530
45000000,1998,11203026,Deep Rising,30.8973599,-33796974
28000000,1982,33139618,Blade Runner,4947.973552,5139618
49000000,2001,72700000,The One,147.4604954,23700000
55000000,2005,223387299,Flightplan,970.7347026,168387299
60000000,2008,50650079,Meet Dave,6524.550253,-9349921
60000000,2008,39031337,The Spirit,3795.230674,-20968663
60000000,2008,57490374,Inkheart,941.2390791,-2509626
60000000,2008,50877145,The Tale of Despereaux,6052.98766,-9122855
60000000,2008,163403799,The Happening,2075.518776,103403799
60000000,2008,244082376,Marley & Me,1610.36916,184082376
60000000,2008,73174566,Righteous Kill,3701.155796,13174566
50000000,2002,56714147,Murder by Numbers,1694.239561,6714147
50000000,2002,26199517,Blood Work,1145.393391,-23800483
50000000,2002,119137784,Unfaithful,1790.119519,69137784
50000000,2002,171269535,Mr. Deeds,892.5610255,121269535
35000000,1990,57120318,Predator 2,339.0426267,22120318
30000000,1985,152427960,A View to a Kill,2812.395458,122427960
48000000,2001,50315140,K-PAX,1596.168715,2315140
48000000,2001,85498534,Rat Race,1404.901236,37498534
48000000,2001,35743308,Riding in Cars with Boys,2026.053832,-12256692
45000000,1999,90683916,Galaxy Quest,1115.251305,45683916
45000000,1999,10667893,Universal Soldier: The Return,523.7905065,-34332107
15000000,1962,69995385,Lawrence of Arabia,176.571345,54995385
55000000,2006,9450897,All the King's Men,3270.999531,-45549103
55000000,2006,65664721,16 Blocks,5086.848041,10664721
55000000,2006,307077295,The Pursuit of Happyness,5664.685931,252077295
46000000,2000,107196498,Shaft,1580.980413,61196498
24000000,1978,21049053,The Wiz,0.0,-2950947
60000000,2009,62357900,Year One,2265.057603,2357900
60000000,2009,122233971,Invictus,4480.408524,62233971
60000000,2009,87784194,State of Play,2401.148336,27784194
60000000,2009,124596398,Coraline,1157.988925,64596398
60000000,2009,31720158,The Soloist,1313.08743,-28279842
58000000,2008,41299492,Leatherheads,3125.696297,-16700508
50000000,2003,177371441,How to Lose a Guy in 10 Days,1086.975584,127371441
50000000,2003,88323487,Shanghai Knights,1185.892596,38323487
50000000,2003,42792561,Basic,2596.816975,-7207439
50000000,2003,55495563,Out of Time,2357.806136,5495563
50000000,2003,38955598,The Life of David Gale,3165.647524,-11044402
53000000,2005,95226116,Be Cool,2525.574233,42226116
35000000,1991,182300000,Cape Fear,431.3048796,147300000
27500000,1983,187500000,Octopussy,2431.027998,160000000
38000000,1994,120000000,Star Trek: Generations,0.0,82000000
48000000,2002,196397415,Panic Room,736.9482168,148397415
54000000,2006,130431368,"You, Me and Dupree",956.2831937,76431368
54000000,2006,132511035,V for Vendetta,3748.773044,78511035
40000000,1996,49627779,The Island of Dr. Moreau,1520.384512,9627779
40000000,1996,152266007,A Time to Kill,1092.777519,112266007
45000000,2000,212000000,Miss Congeniality,1417.896854,167000000
45000000,2000,224834564,Chicken Run,3340.606064,179834564
45000000,2000,113916474,Coyote Ugly,868.9577933,68916474
28000000,1984,333000000,Indiana Jones and the Temple of Doom,6359.179376,305000000
52000000,2005,77944725,Hostage,5100.524805,25944725
55000000,2007,70016220,3:10 to Yuma,1754.897666,15016220
55000000,2007,74237563,Elizabeth: The Golden Age,1920.382116,19237563
27000000,1983,16519460,Krull,0.0,-10480540
27000000,1983,21500000,The Right Stuff,0.0,-5500000
58000000,2009,85280250,Did You Hear About the Morgans?,1986.474187,27280250
50000000,2004,49718611,Raising Helen,1430.813741,-281389
50000000,2004,40203020,Bridget Jones: The Edge of Reason,1956.793527,-9796980
50000000,2004,200804534,Garfield,471.2186678,150804534
50000000,2004,170128460,Shall We Dance?,1964.551176,120128460
50000000,2004,6808550,The Big Bounce,2955.917212,-43191450
50000000,2004,34808403,The Life Aquatic with Steve Zissou,1573.902617,-15191597
35000000,1992,4651977,Radio Flyer,0.0,-30348023
35000000,1992,321731527,Lethal Weapon 3,1168.557693,286731527
32000000,1989,156167015,Licence to Kill,445.4960187,124167015
44000000,2000,21400000,Battlefield Earth,2211.64998,-22600000
48000000,2003,220673217,Scary Movie 3,0.0,172673217
40000000,1997,87840042,Spawn,307.6541911,47840042
40000000,1997,45916769,The Rainmaker,1202.559372,5916769
18000000,1970,24911670,Catch-22,4.359786297,6911670
45000000,2001,141220678,Scary Movie 2,6.892181759,96220678
45000000,2001,104876233,Training Day,2136.240206,59876233
52000000,2006,204999686,The Break-Up,1405.918239,152999686
22000000,1977,12000000,Sorcerer,1704.716089,-10000000
22000000,1977,50750000,A Bridge Too Far,834.0679087,28750000
55000000,2008,17869048,City of Ember,117.5907466,-37130952
55000000,2008,113020255,Changeling,2365.338722,58020255
55000000,2008,168167691,Seven Pounds,6584.095246,113167691
55000000,2008,127906624,The Forbidden Kingdom,1615.351339,72906624
46000000,2002,113714830,Insomnia,4014.476504,67714830
27000000,1984,20158808,The NeverEnding Story,0.0,-6841192
42000000,1999,363889678,Notting Hill,2627.735292,321889678
50000000,2005,66002004,Herbie Fully Loaded,1073.803667,16002004
50000000,2005,161451538,The Ring Two,899.6542346,111451538
50000000,2005,44434439,Into the Blue,790.5607752,-5565561
50000000,2005,22944502,Domino,467.8106275,-27055498
50000000,2005,94000000,Syriana,3148.5481,44000000
50000000,2005,104478416,The Hitchhiker's Guide to the Galaxy,276.4751984,54478416
50000000,2005,110803676,The Dukes of Hazzard,740.5848387,60803676
50000000,2005,69425966,The Adventures of Sharkboy and Lavagirl,0.0,19425966
50000000,2005,42093706,Oliver Twist,831.7075573,-7906294
34000000,1992,48169908,Malcolm X,92.14500384,14169908
43000000,2000,80049764,Finding Forrester,3752.920564,37049764
30000000,1988,38413606,Midnight Run,415.7717226,8413606
38000000,1996,17380126,Extreme Measures,1930.972095,-20619874
38000000,1996,10300000,White Squall,101.3448634,-27700000
51000000,2006,72779000,Barnyard,936.0495873,21779000
40000000,1998,38172500,Quest for Camelot,1828.343489,-1827500
40000000,1998,54682547,Small Soldiers,406.1077371,14682547
45000000,2002,306776732,Chicago,1128.041389,261776732
45000000,2002,94935764,Changing Lanes,2150.847989,49935764
42000000,2000,32168970,Reindeer Games,1882.000823,-9831030
50000000,2006,61112916,The Shaggy Dog,1963.928708,11112916
51500000,2007,55112356,Eastern Promises,3420.982311,3612356
50000000,2006,55181129,The Ant Bully,3986.956613,5181129
50000000,2006,69834815,Curious George,2577.741374,19834815
50000000,2006,111340801,Underworld: Evolution,1060.093951,61340801
50000000,2006,132180323,Perfume: The Story of a Murderer,0.0,82180323
50000000,2006,97607453,Silent Hill,982.9548807,47607453
50000000,2006,49111202,The Black Dahlia,989.6642766,-888798
50000000,2006,88715192,Failure to Launch,1433.731563,38715192
34000000,1993,32255440,The Age of Innocence,831.9284169,-1744560
35000000,1994,99423521,Street Fighter,388.212912,64423521
31000000,1990,53208180,Arachnophobia,0.0,22208180
30000000,1989,70200000,Star Trek V: The Final Frontier,1138.547767,40200000
30000000,1989,45892212,Black Rain,848.1680623,15892212
38000000,1997,299288605,My Best Friend's Wedding,1960.652023,261288605
25000000,1983,65884703,Scarface,861.8220025,40884703
41300000,2000,106371651,The Whole Nine Yards,4670.531146,65071651
40000000,1999,672806292,The Sixth Sense,3526.877004,632806292
40000000,1999,128798265,The Talented Mr. Ripley,1338.754584,88798265
40000000,1999,96618699,8MM,2084.600625,56618699
45000000,2003,124914842,"Legally Blonde 2: Red, White & Blonde",717.6351812,79914842
52000000,2008,609841637,Mamma Mia!,3349.247715,557841637
42000000,2001,35402320,Original Sin,864.505428,-6597680
50000000,2007,32017803,Sunshine,226.2757495,-17982197
50000000,2007,90450008,Hairspray,2526.083461,40450008
50000000,2007,82169884,Hannibal Rising,222.0668826,32169884
53000000,2009,126690726,Law Abiding Citizen,1363.574521,73690726
35000000,1995,113374103,Species,789.0095875,78374103
35000000,1995,15000000,The Horseman on the Roof,0.0,-20000000
43000000,2002,68696770,The Sweetest Thing,3395.242885,25696770
37000000,1997,6482195,Switchback,1001.691028,-30517805
30000000,1990,199200000,The Hunt for Red October,3197.50897,169200000
25000000,1984,8613462,The Bounty,343.7525678,-16386538
25000000,1984,5778353,Sheena,0.0,-19221647
40000000,2000,144056873,The Beach,3436.940403,104056873
40000000,2000,55707411,Pay It Forward,1537.833711,15707411
40000000,2000,30199105,The Art of War,376.6585636,-9800895
40000000,2000,161834276,Scream 3,775.0036728,121834276
40000000,2000,36037909,Hanging Up,1393.170871,-3962091
45000000,2004,129394835,Resident Evil: Apocalypse,294.4116324,84394835
45000000,2004,21009180,Flight of the Phoenix,677.4300066,-23990820
28000000,1988,140767956,Die Hard,0.0,112767956
27000000,1987,38122105,The Running Man,804.3908851,11122105
42000000,2002,63781810,High Crimes,2584.20325,21781810
20000000,1977,303788635,Close Encounters of the Third Kind,2036.521803,283788635
47000000,2006,38085778,Happily N'Ever After,957.322369,-8914222
32000000,1993,36733909,Alive,568.4936561,4733909
36000000,1997,12532777,Gattaca,598.201243,-23467223
36000000,1997,74000000,Amistad,2434.850969,38000000
36000000,1997,50159144,Breakdown,686.1118495,14159144
30000000,1991,74787599,The Prince of Tides,69.76193363,44787599
30000000,1991,191502426,The Addams Family,2131.963622,161502426
38000000,1999,635096,Ride with the Devil,130.6011308,-37364904
38000000,1999,28121100,The Deep End of the Ocean,1428.574586,-9878900
38000000,1999,58401898,The Ninth Gate,291.1904523,20401898
25000000,1985,11137801,Return to Oz,0.0,-13862199
40000000,2001,91753202,Behind Enemy Lines,2228.292099,51753202
40000000,2001,65754228,Sweet November,1777.692244,25754228
40000000,2001,27053815,The Musketeer,153.381523,-12946185
40000000,2001,141069860,Shallow Hal,1334.885795,101069860
45000000,2005,92374674,Four Brothers,1628.16275,47374674
45000000,2005,38058335,The Producers,1709.012399,-6941665
45000000,2005,50871113,Unleashed,3205.093729,5871113
45000000,2005,56070433,Kicking & Screaming,1022.904939,11070433
41000000,2002,215000000,8 Mile,157.292828,174000000
20000000,1978,187884007,Jaws 2,1707.295543,167884007
50000000,2009,40828540,Gamer,1363.574521,-9171460
50000000,2009,106303988,Race to Witch Mountain,1018.522013,56303988
50000000,2009,60161391,The International,1127.715964,10161391
50000000,2009,12764201,Street Fighter: The Legend of Chun-Li,708.3240897,-37235799
50000000,2009,155446362,Knowing,3469.649525,105446362
50000000,2009,36348784,The Boat That Rocked,1348.762966,-13651216
50000000,2009,709827462,The Twilight Saga: New Moon,810.232579,659827462
33000000,1995,327311859,Se7en,1436.36325,294311859
35000000,1997,126216940,L.A. Confidential,1202.559372,91216940
35000000,1997,41954997,Donnie Brasco,1377.220521,6954997
35000000,1997,25105255,Midnight in the Garden of Good and Evil,0.0,-9894745
37000000,1999,48451803,Magnolia,529.9772358,11451803
25000000,1986,38748395,Little Shop of Horrors,0.0,13748395
25000000,1986,11000000,Big Trouble in Little China,372.2577443,-14000000
25000000,1986,79817939,The Golden Child,1037.676666,54817939
40000000,2002,22433915,City By The Sea,2371.674478,-17566085
40000000,2002,8493890,Big Trouble,1871.318831,-31506110
40000000,2002,18902015,FearDotCom,211.6286248,-21097985
40000000,2002,10959475,Extreme Ops,228.6424916,-29040525
40000000,2002,16872671,Life or Something Like It,1118.950086,-23127329
45000000,2006,184376254,Inside Man,2592.073866,139376254
45000000,2006,82800000,Firewall,7137.995039,37800000
45000000,2006,38399961,Last Holiday,981.8493641,-6600039
45000000,2006,178262620,Scary Movie 4,400.4402763,133262620
22000000,1982,77737889,Gandhi,0.0,55737889
42000000,2004,171963386,Along Came Polly,1493.6708,129963386
20000000,1979,35841901,The Black Hole,106.9703646,15841901
32000000,1995,18552460,The Quick and the Dead,1418.930632,-13447540
43000000,2005,91974818,The Skeleton Key,473.2774832,48974818
43000000,2005,56681566,Elektra,138.815474,13681566
43000000,2005,154749918,Monster-in-Law,1367.006392,111749918
38000000,2001,207283925,The Fast and the Furious,964.8372365,169283925
25000000,1987,76270454,The Untouchables,2168.398307,51270454
40000000,2003,244931766,Love Actually,255.0764374,204931766
40000000,2003,190212113,Cheaper by the Dozen,231.5775337,150212113
40000000,2003,160583018,Johnny English,445.900911,120583018
40000000,2003,19322135,Duplex,2015.232892,-20677865
40000000,2003,141591324,Gothika,1311.004052,101591324
45000000,2007,175372502,The Bucket List,3316.278037,130372502
45000000,2007,4607608,Love in the Time of Cholera,525.8264151,-40392392
45000000,2007,148412065,Resident Evil: Extinction,496.0786683,103412065
24000000,1986,133000000,Star Trek IV: The Voyage Home,885.1467976,109000000
42000000,2005,24127895,Lord of War,3071.534976,-17872105
35000000,1999,40263020,Blast from the Past,329.7837337,5263020
32000000,1996,152036382,Phenomenon,1014.317692,120036382
36000000,2000,3003296,Isn't She Great,322.4531046,-32996704
37000000,2001,165335153,The Princess Diaries,517.7135687,128335153
30000000,1994,51132598,The Naked Gun 33�? The Final Insult,217.9619128,21132598
30000000,1994,160638883,Legends of the Fall,1107.269658,130638883
30000000,1994,350448145,Speed,83.36415706,320448145
38000000,2002,119723358,Spy Kids 2: The Island of Lost Dreams,1134.109643,81723358
38000000,2002,51801187,Enough,864.7895214,13801187
21000000,1982,177200000,Tootsie,1001.125182,156200000
25000000,1988,412800000,Rain Man,984.9944609,387800000
40000000,2004,46546197,Torque,827.9070175,6546197
40000000,2004,92913171,Secret Window,1964.314661,52913171
40000000,2004,95149435,The Princess Diaries 2: Royal Engagement,654.3223482,55149435
40000000,2004,26155781,The Whole Ten Yards,5184.698853,-13844219
40000000,2004,124731534,Ray,228.7944719,84731534
45000000,2008,42487390,Bangkok Dangerous,3499.344412,-2512610
45000000,2008,101702060,Journey to the Center of the Earth,941.2390791,56702060
45000000,2008,9323833,Miracle at St. Anna,32.03722508,-35676167
45000000,2008,73762516,Death Race,596.6033184,28762516
28000000,1992,504050219,Aladdin,1502.354827,476050219
27000000,1991,96900000,Star Trek VI: The Undiscovered Country,1239.995977,69900000
34200000,1999,234801895,Big Daddy,391.6691322,200601895
8250000,1951,30000000,Quo Vadis,0.0,21750000
20000000,1981,2297493,Under the Rainbow,3902.128517,-17702507
30250000,1995,115101622,Get Shorty,1418.930632,84851622
32000000,1997,3566637,Cats Don't Dance,0.0,-28433363
26000000,1990,61489265,Flatliners,186.807031,35489265
35866397,2001,20217080,Winged Migration,0.0,-15649317
30000000,1995,373554033,Toy Story,2377.875526,343554033
30000000,1995,254134910,Babe,0.0,224134910
30000000,1995,24048000,Virtuosity,965.5063687,-5952000
30000000,1995,212385533,Ace Ventura: When Nature Calls,1365.63237,182385533
38000000,2003,197011982,Spy Kids 3-D: Game Over,1348.437143,159011982
39000000,2004,6614280,Against the Ropes,1326.775478,-32385720
40000000,2005,117195061,Corpse Bride,2223.95669,77195061
40000000,2005,46442528,Get Rich or Die Tryin',90.96849601,6442528
40000000,2005,68766121,House of Wax,43.76665055,28766121
40000000,2005,158733820,Sin City,129.5539211,118733820
40000000,2005,31670620,Rent,139.263467,-8329380
45000000,2009,57881056,Aliens in the Attic,0.0,12881056
28000000,1993,669276,The Thief and the Cobbler,3329.157516,-27330724
28000000,1993,39514713,Hocus Pocus,64.58812247,11514713
19000000,1980,44017374,The Shining,339.4359458,25017374
20000000,1982,79114085,Conan the Barbarian,1453.775424,59114085
33000000,1999,310940086,Austin Powers: The Spy Who Shagged Me,336.4891858,277940086
35000000,2001,147934180,Spy Kids,864.505428,112934180
35000000,2001,29400000,The Pledge,2081.895087,-5600000
35000000,2001,74558115,From Hell,652.5421291,39558115
35000000,2001,94728529,The Wedding Planner,893.5518021,59728529
35000000,2001,13678913,American Outlaws,86.33859142,-21321087
36000000,2002,102244770,John Q,2253.116885,66244770
23000000,1987,51881013,Jaws: The Revenge,487.9276502,28881013
23000000,1987,43984230,The Last Emperor,177.8634737,20984230
39000000,2005,38869464,Serenity,499.727657,-130536
25000000,1990,46836394,GoodFellas,337.8186457,21836394
17000000,1977,8720000,Damnation Alley,0.0,-8280000
40000000,2006,23937870,Stormbreaker,4798.87819,-16062130
40000000,2006,138259062,Big Momma's House 2,1052.916328,98259062
40000000,2006,109676311,The Prestige,1223.144674,69676311
40000000,2006,120175290,Apocalypto,0.0,80175290
40000000,2006,60474340,Marie Antoinette,3158.839774,20474340
40000000,2006,114830111,The Lake House,3768.259685,74830111
40000000,2006,86915017,The Illusionist,909.4388453,46915017
40000000,2006,120455994,Eight Below,835.7614011,80455994
22700000,1987,38119483,Spaceballs,161.8443151,15419483
34000000,2001,19693891,Summer Catch,267.9568309,-14306109
33000000,2000,104155843,The Cell,526.2366799,71155843
35000000,2002,45479110,Queen of the Damned,144.4510975,10479110
35000000,2002,29882645,The Four Feathers,682.5826685,-5117355
35000000,2002,75395048,The Count of Monte Cristo,313.0733452,40395048
35000000,2002,16838910,Femme Fatale,1134.109643,-18161090
35000000,2002,120072577,The Pianist,158.3002836,85072577
35000000,2002,68349884,Ghost Ship,457.787841,33349884
36000000,2003,44350926,A Man Apart,1666.979576,8350926
41677699,2008,187479518,Ponyo,0.0,145801819
37000000,2004,96455697,13 Going on 30,41.69695822,59455697
37000000,2004,113086475,White Chicks,213.0206674,76086475
30000000,1997,51376861,Mortal Kombat: Annihilation,357.4785756,21376861
25000000,1991,78000000,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,154.9210341,53000000
40000000,2007,145896422,Music and Lyrics,2596.52042,105896422
40000000,2007,41797066,Aliens vs Predator: Requiem,0.0,1797066
40000000,2007,62771059,The Reaping,578.443341,22771059
18000000,1980,23000000,Raging Bull,248.8522827,5000000
18000000,1980,538400000,The Empire Strikes Back,2399.596647,520400000
28000000,1995,31596911,Rob Roy,730.6710169,3596911
27000000,1994,101646581,Timecop,85.50736687,74646581
35000000,2003,11560806,The Order,714.0579083,-23439194
35000000,2003,131282949,School of Rock,1263.679336,96282949
32000000,2000,48814909,Men of Honor,1648.536761,16814909
26000000,1993,206678440,Philadelphia,694.0260561,180678440
30000000,1998,19204929,The Replacement Killers,466.5266335,-10795071
30000000,1998,82150642,Elizabeth,0.0,52150642
30000000,1998,100491683,The Rugrats Movie,1221.039178,70491683
30000000,1998,29202884,Bulworth,346.9836965,-797116
30000000,1998,9898412,Very Bad Things,1185.042164,-20101588
38000000,2006,29907685,Pulse,0.0,-8092315
25000000,1992,411006740,The Bodyguard,2330.623628,386006740
