Budget,Revenue,Title,Average Vote,release_date,Release Year,Starring Actors Popularity
75000000,152930623,Tower Heist,5.8,2011/11/2,2011,7000.93859
75000000,342695435,Alvin and the Chipmunks: Chipwrecked,5.4,2011/12/14,2011,1122.446154
75000000,226904017,Immortals,5.7,2011/11/10,2011,102.1257317
44000000,368875760,The Fugitive,7.2,1993/8/6,1993,7344.929054
40000000,244527583,Back to the Future Part III,7.1,1990/5/25,1990,1634.650885
45000000,117615211,The Client,6.4,1994/7/20,1994,1295.648873
45000000,170362582,The Specialist,5.5,1994/10/7,1994,2244.578532
45000000,788241776,The Lion King,8,1994/6/23,1994,263.7132797
70000000,171844840,Couples Retreat,5.3,2009/9/19,2009,1793.705815
70000000,319131050,Inglourious Basterds,7.9,2009/8/18,2009,6062.112498
70000000,104945765,Planet 51,5.6,2009/11/19,2009,1018.522013
70000000,39041505,Agora,6.9,2009/5/17,2009,932.4444758
64000000,101595121,Little Man,5.3,2006/8/31,2006,363.3844072
62000000,52304001,Æon Flux,5.4,2005/11/30,2005,964.190716
32350000,572700000,Return of the Jedi,7.9,1983/5/23,1983,4933.566168
60000000,219417255,The Terminal,7,2004/6/17,2004,6847.670612
60000000,13395939,Alfie,5.6,2004/10/22,2004,675.3148957
60000000,74541707,Ladder 49,6.2,2004/10/1,2004,2400.693104
60000000,61347797,After the Sunset,6,2004/11/12,2004,3531.254639
60000000,256697520,The Village,6.2,2004/7/30,2004,1498.709998
60000000,170268750,Starsky & Hutch,5.6,2004/3/5,2004,1493.6708
78000000,248384621,Cloudy with a Chance of Meatballs 2,6.4,2013/9/26,2013,1193.591861
50000000,44547681,The Negotiator,6.8,1998/7/29,1998,1549.739288
50000000,202292902,Patch Adams,7,1998/12/25,1998,3763.785314
47000000,12379402,Mary Reilly,5.7,1996/2/23,1996,1982.299333
47000000,102825796,The Cable Guy,5.7,1996/6/10,1996,2368.50406
65000000,84785914,Zodiac,7.3,2007/3/2,2007,1167.102158
63000000,162945894,World Trade Center,5.9,2006/8/9,2006,3051.897353
75000000,59418613,Rock of Ages,6,2012/6/13,2012,8323.52786
75000000,691210692,The Hunger Games,6.9,2012/3/12,2012,435.4125279
40000000,205405498,JFK,7.5,1991/12/20,1991,1093.762779
45000000,20350754,Showgirls,4.9,1995/9/22,1995,132.2650492
70000000,134748021,Wall Street: Money Never Sleeps,5.8,2010/9/2,2010,3499.991304
52000000,256271286,Erin Brockovich,7.1,2000/3/17,2000,3690.701496
55000000,6416302,D-Tox,5.3,2002/1/4,2002,2507.139034
55000000,154906693,Maid in Manhattan,5.6,2002/12/13,2002,1285.44057
46000000,100860818,Courage Under Fire,6.2,1996/7/4,1996,1285.898098
46000000,150000000,Star Trek: First Contact,7,1996/11/21,1996,227.3571661
60000000,71073932,xXx: State of the Union,4.7,2005/4/27,2005,3620.5376
60000000,55987321,Doom,5,2005/10/20,2005,632.6171082
60000000,129181830,Cheaper by the Dozen 2,5.7,2005/12/21,2005,771.9186163
76000000,970761885,Despicable Me 2,7,2013/6/25,2013,2343.809903
42000000,270248367,The Firm,6.6,1993/6/30,1993,2925.617663
50000000,73956241,The Hurricane,7.2,1999/9/17,1999,1618.05838
50000000,58900031,The Story of Us,5.9,1999/10/13,1999,3526.877004
53000000,29700000,Angel Eyes,5.6,2001/5/15,2001,683.7510517
53000000,83282296,Blow,7.4,2001/4/4,2001,652.5421291
80000000,473226958,Hotel Transylvania 2,6.7,2015/9/21,2015,3639.168627
69000000,86387857,Dinner for Schmucks,5.5,2010/7/30,2010,1213.274301
69000000,543513985,Despicable Me,7.1,2010/7/8,2010,1213.274301
65000000,128107642,Step Brothers,6.5,2008/7/25,2008,1064.835632
56000000,12923936,Gods and Generals,6.1,2003/2/21,2003,957.7761081
75000000,117698894,Now You See Me,7.3,2013/5/29,2013,2510.463187
44000000,13681765,Nixon,7.1,1995/12/22,1995,1394.205785
51000000,149270999,"Me, Myself & Irene",6.1,2000/6/22,2000,3210.630405
52500000,179213434,Moulin Rouge!,7.4,2001/3/9,2001,1538.255659
48000000,77745568,Out of Sight,6.5,1998/6/26,1998,467.7651559
54000000,155010032,Blade II,6.2,2002/3/22,2002,493.0637771
17000000,10000000,55 Days at Peking,6.3,1963/5/6,1963,191.7859152
40000000,75505856,The Last of the Mohicans,7.1,1992/9/25,1992,5.429120879
40000000,70100000,Boomerang,5.4,1992/6/30,1992,1738.239269
40000000,243240178,A Few Good Men,7.1,1992/12/11,1992,2480.8763
40000000,107458785,A League of Their Own,6.7,1992/7/1,1992,484.3832601
40000000,14358033,Memoirs of an Invisible Man,5.7,1992/2/28,1992,233.1410886
40000000,215862692,Dracula,7.1,1992/11/13,1992,654.6342935
45000000,53854588,Tin Cup,5.9,1996/8/16,1996,3472.942138
45000000,17300889,The Phantom,4.7,1996/6/6,1996,0
57000000,28283637,Thunderbirds,4.2,2004/7/23,2004,0
68000000,698491347,The Twilight Saga: Eclipse,5.8,2010/6/23,2010,1695.411114
70000000,67112664,The Dilemma,5.2,2011/1/13,2011,1923.912411
70000000,202466756,Battle: Los Angeles,5.5,2011/3/8,2011,2091.353404
55000000,34234008,The Hunted,6,2003/3/11,2003,3866.958043
55000000,231449203,American Wedding,6,2003/8/1,2003,873.6637812
55000000,33828318,Stuck on You,5.1,2003/12/10,2003,2805.075562
60000000,17800000,Flyboys,6.3,2006/9/22,2006,1151.308108
60000000,77920346,The Sentinel,5.8,2006/4/19,2006,1819.273892
58000000,102854431,Just Like Heaven,6.5,2005/9/16,2005,792.1299989
20000000,31678778,Paint Your Wagon,6.2,1969/10/15,1969,116.3453159
80000000,52099090,The Finest Hours,6.3,2016/1/25,2016,1690.739955
65000000,93525586,The Lovely Bones,6.6,2009/12/26,2009,2047.264581
65000000,44091067,Astro Boy,6.1,2009/10/15,2009,3469.649525
56000000,57223890,Walking Tall,6,2004/4/2,2004,367.2259443
61000000,95696996,Shooter,6.9,2007/3/22,2007,1682.752814
38000000,34416893,The Doors,6.7,1991/3/1,1991,802.894655
44000000,165615285,Sleepers,7.3,1996/10/18,1996,1342.73804
48000000,124305181,The Thomas Crown Affair,6.6,1999/8/6,1999,2354.300944
54000000,7266209,Gigli,3.5,2003/8/1,2003,2544.611194
17000000,72070731,My Fair Lady,7.4,1964/10/21,1964,343.3164068
45000000,136885767,Anaconda,4.7,1997/4/11,1997,915.8488236
45000000,181000000,Liar Liar,6.4,1997/3/21,1997,2507.059011
45000000,2154540,Shadow Conspiracy,4,1997/1/31,1997,1140.677519
57000000,52034889,Elizabethtown,6.1,2005/10/6,2005,3154.029588
28000000,195312802,For Your Eyes Only,6.3,1981/6/23,1981,1975.332629
70000000,58058367,That's My Boy,5.5,2012/6/14,2012,2995.257554
70000000,160112671,Underworld: Awakening,6.1,2012/1/19,2012,1360.281975
52000000,352114312,Catch Me If You Can,7.7,2002/12/25,2002,6340.246738
62000000,41819064,The Love Guru,4.3,2008/6/20,2008,4072.923767
60000000,361366633,Alvin and the Chipmunks,5.5,2007/12/13,2007,150.0829318
60000000,137587063,Bridge to Terabithia,7,2007/2/16,2007,792.6394099
27000000,115229890,The Blues Brothers,7.5,1980/6/17,1980,524.3779626
50000000,79958599,Exit Wounds,5.3,2001/3/13,2001,463.2839823
50000000,100020092,Don't Say a Word,6,2001/9/28,2001,1904.595022
35000000,411348924,Batman,7,1989/6/23,1989,432.4770924
69000000,112265139,Abraham Lincoln: Vampire Hunter,5.5,2012/6/20,2012,111.9870481
65000000,211780824,Due Date,6.2,2010/11/4,2010,1975.6852
56000000,113006880,The Pacifier,5.8,2005/3/4,2005,1826.60862
31000000,128499205,Out of Africa,7,1985/12/20,1985,732.8589795
75000000,108145109,The Man from U.N.C.L.E.,7.1,2015/8/13,2015,734.5734751
48000000,90383208,Bedazzled,5.6,2000/10/19,2000,176.3902578
48000000,207515725,Traffic,6.9,2000/12/27,2000,1607.557892
40000000,24332324,Renaissance Man,5.9,1994/6/3,1994,1245.851235
45000000,131183530,Blade,6.5,1998/8/21,1998,127.2216077
45000000,11203026,Deep Rising,6,1998/1/30,1998,30.8973599
68000000,68267862,The Watch,5.3,2012/7/26,2012,5836.42529
66000000,177584879,War Horse,7,2011/12/25,2011,31.56856196
66000000,57777106,Killer Elite,6.1,2011/9/23,2011,3907.725498
28000000,33139618,Blade Runner,7.9,1982/6/25,1982,4947.973552
70000000,18662027,Legends of Oz: Dorothy's Return,5.9,2013/6/13,2013,1850.032314
70000000,161025640,Olympus Has Fallen,6.2,2013/3/20,2013,2413.606793
49000000,72700000,The One,5.7,2001/11/2,2001,147.4604954
74000000,1156730962,Minions,6.4,2015/6/17,2015,3455.770352
74000000,311594032,The SpongeBob Movie: Sponge Out of Water,5.8,2015/2/5,2015,160.5492072
55000000,223387299,Flightplan,6.1,2005/9/22,2005,970.7347026
60000000,50650079,Meet Dave,5,2008/7/8,2008,6524.550253
60000000,39031337,The Spirit,4.7,2008/12/25,2008,3795.230674
60000000,57490374,Inkheart,6,2008/12/11,2008,941.2390791
60000000,50877145,The Tale of Despereaux,5.8,2008/12/19,2008,6052.98766
60000000,163403799,The Happening,4.9,2008/6/11,2008,2075.518776
60000000,244082376,Marley & Me,6.9,2008/12/25,2008,1610.36916
60000000,73174566,Righteous Kill,5.9,2008/9/11,2008,3701.155796
50000000,56714147,Murder by Numbers,6,2002/4/19,2002,1694.239561
50000000,26199517,Blood Work,6.1,2002/8/4,2002,1145.393391
50000000,119137784,Unfaithful,6.3,2002/5/10,2002,1790.119519
50000000,171269535,Mr. Deeds,5.6,2002/6/28,2002,892.5610255
35000000,57120318,Predator 2,5.9,1990/11/20,1990,339.0426267
30000000,152427960,A View to a Kill,6,1985/5/24,1985,2812.395458
75000000,875958308,The Secret Life of Pets,5.9,2016/6/18,2016,345.7425278
48000000,50315140,K-PAX,7.1,2001/10/22,2001,1596.168715
48000000,85498534,Rat Race,6,2001/7/30,2001,1404.901236
48000000,35743308,Riding in Cars with Boys,6.5,2001/10/19,2001,2026.053832
45000000,90683916,Galaxy Quest,6.9,1999/12/23,1999,1115.251305
45000000,10667893,Universal Soldier: The Return,4.2,1999/8/5,1999,523.7905065
70000000,61279452,The Legend of Hercules,4.4,2014/1/10,2014,254.6791468
70000000,215529201,Dracula Untold,6.2,2014/10/1,2014,146.9528274
70000000,154984035,The Monuments Men,5.8,2014/1/24,2014,5418.817502
15000000,69995385,Lawrence of Arabia,7.8,1962/12/10,1962,176.571345
55000000,9450897,All the King's Men,5.7,2006/9/10,2006,3270.999531
55000000,65664721,16 Blocks,6.2,2006/3/1,2006,5086.848041
55000000,307077295,The Pursuit of Happyness,7.7,2006/12/14,2006,5664.685931
46000000,107196498,Shaft,5.5,2000/6/15,2000,1580.980413
24000000,21049053,The Wiz,5.9,1978/10/24,1978,0
60000000,62357900,Year One,4.6,2009/6/18,2009,2265.057603
60000000,122233971,Invictus,7,2009/12/10,2009,4480.408524
60000000,87784194,State of Play,6.7,2009/4/17,2009,2401.148336
60000000,124596398,Coraline,7.3,2009/2/5,2009,1157.988925
60000000,31720158,The Soloist,6.6,2009/4/24,2009,1313.08743
58000000,41299492,Leatherheads,5.7,2008/3/24,2008,3125.696297
50000000,177371441,How to Lose a Guy in 10 Days,6.3,2003/2/7,2003,1086.975584
50000000,88323487,Shanghai Knights,6,2003/2/6,2003,1185.892596
50000000,42792561,Basic,6.2,2003/4/18,2003,2596.816975
50000000,55495563,Out of Time,6.1,2003/10/3,2003,2357.806136
50000000,38955598,The Life of David Gale,7.3,2003/2/21,2003,3165.647524
53000000,95226116,Be Cool,5.4,2005/3/4,2005,2525.574233
35000000,182300000,Cape Fear,7,1991/11/15,1991,431.3048796
65000000,275293450,Lincoln,6.7,2012/11/9,2012,711.1020887
65000000,73706,Foodfight!,2.3,2012/6/15,2012,287.9049064
65000000,179379533,The Dictator,5.9,2012/5/15,2012,734.5247159
65000000,156974557,This Means War,5.9,2012/2/14,2012,1899.554431
65000000,240159255,Resident Evil: Retribution,5.6,2012/9/12,2012,1207.32719
63000000,183953723,Hop,5.5,2011/3/30,2011,823.1293995
73000000,349779543,The Angry Birds Movie,5.9,2016/5/11,2016,487.9644868
27500000,187500000,Octopussy,6.2,1983/6/5,1983,2431.027998
38000000,120000000,Star Trek: Generations,6.4,1994/11/17,1994,0
48000000,196397415,Panic Room,6.5,2002/3/29,2002,736.9482168
54000000,130431368,"You, Me and Dupree",5.4,2006/7/14,2006,956.2831937
54000000,132511035,V for Vendetta,7.7,2006/3/15,2006,3748.773044
40000000,49627779,The Island of Dr. Moreau,4.6,1996/8/23,1996,1520.384512
40000000,152266007,A Time to Kill,7,1996/7/24,1996,1092.777519
45000000,212000000,Miss Congeniality,6.1,2000/12/14,2000,1417.896854
45000000,224834564,Chicken Run,6.5,2000/6/21,2000,3340.606064
45000000,113916474,Coyote Ugly,5.8,2000/7/30,2000,868.9577933
68000000,211817906,Fury,7.4,2014/10/15,2014,6884.532984
28000000,333000000,Indiana Jones and the Temple of Doom,7.1,1984/5/23,1984,6359.179376
70000000,17752940,Blackhat,5.1,2015/1/13,2015,1792.24592
52000000,77944725,Hostage,6.2,2005/3/9,2005,5100.524805
55000000,70016220,3:10 to Yuma,6.9,2007/9/6,2007,1754.897666
55000000,74237563,Elizabeth: The Golden Age,6.6,2007/9/9,2007,1920.382116
60000000,204594016,Eat Pray Love,5.8,2010/8/12,2010,4061.430046
60000000,47664559,Scott Pilgrim vs. the World,7.2,2010/7/27,2010,564.4960108
60000000,300228084,Resident Evil: Afterlife,5.8,2010/9/9,2010,731.4065294
27000000,16519460,Krull,5.8,1983/7/29,1983,0
27000000,21500000,The Right Stuff,7.3,1983/10/20,1983,0
58000000,85280250,Did You Hear About the Morgans?,5.1,2009/12/17,2009,1986.474187
50000000,49718611,Raising Helen,5.9,2004/5/27,2004,1430.813741
50000000,40203020,Bridget Jones: The Edge of Reason,6.1,2004/11/10,2004,1956.793527
50000000,200804534,Garfield,5.2,2004/6/10,2004,471.2186678
50000000,170128460,Shall We Dance?,5.9,2004/10/15,2004,1964.551176
50000000,6808550,The Big Bounce,5,2004/1/30,2004,2955.917212
50000000,34808403,The Life Aquatic with Steve Zissou,7.1,2004/12/10,2004,1573.902617
35000000,4651977,Radio Flyer,6.6,1992/2/21,1992,0
35000000,321731527,Lethal Weapon 3,6.4,1992/5/15,1992,1168.557693
32000000,156167015,Licence to Kill,5.9,1989/7/7,1989,445.4960187
44000000,21400000,Battlefield Earth,3,2000/5/10,2000,2211.64998
48000000,220673217,Scary Movie 3,5.8,2003/10/24,2003,0
40000000,87840042,Spawn,5,1997/7/31,1997,307.6541911
40000000,45916769,The Rainmaker,6.7,1997/11/18,1997,1202.559372
18000000,24911670,Catch-22,6.7,1970/6/24,1970,4.359786297
45000000,141220678,Scary Movie 2,5.4,2001/7/4,2001,6.892181759
45000000,104876233,Training Day,7.3,2001/10/5,2001,2136.240206
68000000,217022588,Ted 2,6.2,2015/6/25,2015,4622.992096
66000000,203277636,Need for Speed,6.1,2014/3/13,2014,146.9528274
52000000,204999686,The Break-Up,5.6,2006/6/1,2006,1405.918239
22000000,12000000,Sorcerer,7.4,1977/6/24,1977,1704.716089
22000000,50750000,A Bridge Too Far,6.9,1977/6/15,1977,834.0679087
55000000,17869048,City of Ember,6.2,2008/10/7,2008,117.5907466
55000000,113020255,Changeling,7.3,2008/1/30,2008,2365.338722
55000000,168167691,Seven Pounds,7.5,2008/12/18,2008,6584.095246
55000000,127906624,The Forbidden Kingdom,6.3,2008/4/18,2008,1615.351339
46000000,113714830,Insomnia,6.8,2002/5/24,2002,4014.476504
60000000,137551594,Contagion,6.2,2011/9/8,2011,5019.043195
60000000,78309131,Priest,5.4,2011/5/5,2011,842.7654284
27000000,20158808,The NeverEnding Story,7,1984/4/5,1984,0
42000000,363889678,Notting Hill,7,1999/5/13,1999,2627.735292
58000000,71664962,RED,6.6,2010/10/13,2010,5825.140708
50000000,66002004,Herbie Fully Loaded,5.1,2005/6/22,2005,1073.803667
50000000,161451538,The Ring Two,5.4,2005/3/17,2005,899.6542346
50000000,44434439,Into the Blue,5.8,2005/9/30,2005,790.5607752
50000000,22944502,Domino,6,2005/9/22,2005,467.8106275
50000000,94000000,Syriana,6.3,2005/11/23,2005,3148.5481
50000000,104478416,The Hitchhiker's Guide to the Galaxy,6.6,2005/1/15,2005,276.4751984
50000000,110803676,The Dukes of Hazzard,5.1,2005/8/5,2005,740.5848387
50000000,69425966,The Adventures of Sharkboy and Lavagirl,4.4,2005/6/10,2005,0
50000000,42093706,Oliver Twist,6.7,2005/9/23,2005,831.7075573
34000000,48169908,Malcolm X,7.2,1992/11/18,1992,92.14500384
43000000,80049764,Finding Forrester,7,2000/12/21,2000,3752.920564
65000000,133821816,Annie,6,2014/12/19,2014,1870.580548
65000000,71154592,"I, Frankenstein",5,2014/1/22,2014,2355.836728
65000000,39407616,Sin City: A Dame to Kill For,6.3,2014/8/20,2014,1741.29193
65000000,163442937,Unbroken,7.3,2014/12/25,2014,505.2876843
61000000,441809770,Les Misérables,7.1,2012/12/18,2012,3251.748051
30000000,38413606,Midnight Run,7.2,1988/7/20,1988,415.7717226
38000000,17380126,Extreme Measures,5.7,1996/9/27,1996,1930.972095
38000000,10300000,White Squall,6.3,1996/2/2,1996,101.3448634
51000000,72779000,Barnyard,5.3,2006/8/4,2006,936.0495873
68490000,193677158,The Monkey King 2,6,2016/1/22,2016,270.9814936
40000000,38172500,Quest for Camelot,6.9,1998/5/15,1998,1828.343489
40000000,54682547,Small Soldiers,6.2,1998/7/10,1998,406.1077371
45000000,306776732,Chicago,6.9,2002/12/26,2002,1128.041389
45000000,94935764,Changing Lanes,5.9,2002/4/7,2002,2150.847989
60000000,107139399,ParaNorman,6.7,2012/8/3,2012,61.41533897
60000000,118338361,The Pirates! In an Adventure with Scientists!,6.4,2012/3/12,2012,1939.387784
60000000,218340595,Jack Reacher,6.3,2012/12/20,2012,8323.52786
42000000,32168970,Reindeer Games,5.4,2000/2/25,2000,1882.000823
50000000,61112916,The Shaggy Dog,4.5,2006/3/9,2006,1963.928708
51500000,55112356,Eastern Promises,7.2,2007/9/14,2007,3420.982311
50000000,55181129,The Ant Bully,5.5,2006/7/27,2006,3986.956613
50000000,69834815,Curious George,6.2,2006/2/10,2006,2577.741374
50000000,111340801,Underworld: Evolution,6.4,2006/1/12,2006,1060.093951
50000000,132180323,Perfume: The Story of a Murderer,7.1,2006/9/13,2006,0
50000000,97607453,Silent Hill,6.3,2006/4/21,2006,982.9548807
50000000,49111202,The Black Dahlia,5.7,2006/9/15,2006,989.6642766
50000000,88715192,Failure to Launch,5.5,2006/3/10,2006,1433.731563
34000000,32255440,The Age of Innocence,7,1993/9/17,1993,831.9284169
35000000,99423521,Street Fighter,4.1,1994/12/22,1994,388.212912
65000000,121545703,Dragon Blade,5.9,2015/2/19,2015,2152.017739
31000000,53208180,Arachnophobia,6.2,1990/8/9,1990,0
61000000,131940411,2 Guns,6.6,2013/8/2,2013,3692.726637
30000000,70200000,Star Trek V: The Final Frontier,5.6,1989/6/9,1989,1138.547767
30000000,45892212,Black Rain,6.2,1989/9/22,1989,848.1680623
38000000,299288605,My Best Friend's Wedding,6.3,1997/6/19,1997,1960.652023
25000000,65884703,Scarface,8,1983/12/8,1983,861.8220025
41300000,106371651,The Whole Nine Yards,6.2,2000/2/18,2000,4670.531146
40000000,672806292,The Sixth Sense,7.7,1999/8/6,1999,3526.877004
40000000,128798265,The Talented Mr. Ripley,7,1999/12/25,1999,1338.754584
40000000,96618699,8MM,6.1,1999/2/26,1999,2084.600625
45000000,124914842,"Legally Blonde 2: Red, White & Blonde",5.1,2003/7/2,2003,717.6351812
57000000,149217355,Ghost Rider: Spirit of Vengeance,4.7,2011/12/10,2011,3814.398071
64000000,97571250,The Little Prince,7.6,2015/7/29,2015,2269.138904
52000000,609841637,Mamma Mia!,6.4,2008/7/3,2008,3349.247715
55000000,152263880,Date Night,5.9,2010/4/8,2010,2115.748153
55000000,89519773,Burlesque,6.9,2010/11/23,2010,305.7332533
60000000,90565421,The Mortal Instruments: City of Bones,6.2,2013/8/21,2013,302.0209568
60000000,105200903,Gangster Squad,6.2,2013/1/10,2013,1638.808899
60000000,60052138,Beautiful Creatures,5.6,2013/2/13,2013,1036.577081
42000000,35402320,Original Sin,5.8,2001/8/3,2001,864.505428
58000000,50365377,Red Tails,5.9,2012/1/19,2012,788.3020934
50000000,32017803,Sunshine,7,2007/4/5,2007,226.2757495
50000000,90450008,Hairspray,6.5,2007/7/13,2007,2526.083461
50000000,82169884,Hannibal Rising,6,2007/2/6,2007,222.0668826
53000000,126690726,Law Abiding Citizen,7.2,2009/10/15,2009,1363.574521
35000000,113374103,Species,5.5,1995/7/7,1995,789.0095875
35000000,15000000,The Horseman on the Roof,6.7,1995/9/20,1995,0
43000000,68696770,The Sweetest Thing,5.3,2002/4/12,2002,3395.242885
65000000,143695338,Pete's Dragon,6.2,2016/8/10,2016,1974.689887
56000000,142044638,New Year's Eve,5.7,2011/12/8,2011,3907.725498
37000000,6482195,Switchback,5.8,1997/10/31,1997,1001.691028
61000000,369330363,Gone Girl,7.9,2014/10/1,2014,2910.102583
30000000,199200000,The Hunt for Red October,7.2,1990/3/2,1990,3197.50897
25000000,8613462,The Bounty,6.5,1984/5/4,1984,343.7525678
25000000,5778353,Sheena,5,1984/8/17,1984,0
40000000,144056873,The Beach,6.3,2000/2/11,2000,3436.940403
40000000,55707411,Pay It Forward,7,2000/10/12,2000,1537.833711
40000000,30199105,The Art of War,5.6,2000/8/23,2000,376.6585636
40000000,161834276,Scream 3,5.7,2000/2/3,2000,775.0036728
40000000,36037909,Hanging Up,5,2000/2/16,2000,1393.170871
45000000,129394835,Resident Evil: Apocalypse,6.1,2004/9/10,2004,294.4116324
45000000,21009180,Flight of the Phoenix,5.7,2004/12/17,2004,677.4300066
28000000,140767956,Die Hard,7.5,1988/7/15,1988,0
55000000,187361754,Mr. Popper's Penguins,5.7,2011/6/17,2011,4859.253035
60000000,469160692,The Lego Movie,7.5,2014/2/6,2014,1902.843337
60000000,30800231,Winter's Tale,6,2014/2/13,2014,3035.160294
60000000,50549107,Jack Ryan: Shadow Recruit,5.9,2014/1/15,2014,3194.255379
60000000,108255770,The Boxtrolls,6.6,2014/9/10,2014,1636.295705
27000000,38122105,The Running Man,6.4,1987/11/13,1987,804.3908851
42000000,63781810,High Crimes,6.1,2002/4/3,2002,2584.20325
58000000,44000000,The Internship,6.1,2013/6/7,2013,3633.409379
20000000,303788635,Close Encounters of the Third Kind,7.2,1977/11/16,1977,2036.521803
47000000,38085778,Happily N'Ever After,4.6,2006/9/14,2006,957.322369
32000000,36733909,Alive,6.7,1993/1/15,1993,568.4936561
36000000,12532777,Gattaca,7.5,1997/9/7,1997,598.201243
36000000,74000000,Amistad,6.8,1997/12/3,1997,2434.850969
36000000,50159144,Breakdown,6.6,1997/5/2,1997,686.1118495
61000000,311256926,Maze Runner: The Scorch Trials,6.4,2015/9/9,2015,373.0061464
30000000,74787599,The Prince of Tides,5.9,1991/12/25,1991,69.76193363
30000000,191502426,The Addams Family,6.7,1991/11/22,1991,2131.963622
38000000,635096,Ride with the Devil,6.6,1999/11/24,1999,130.6011308
38000000,28121100,The Deep End of the Ocean,5.9,1999/3/12,1999,1428.574586
38000000,58401898,The Ninth Gate,6.3,1999/8/24,1999,291.1904523
25000000,11137801,Return to Oz,6.7,1985/6/21,1985,0
58800000,542307423,American Sniper,7.4,2014/12/11,2014,1663.821254
40000000,91753202,Behind Enemy Lines,6,2001/11/17,2001,2228.292099
40000000,65754228,Sweet November,6.4,2001/2/16,2001,1777.692244
40000000,27053815,The Musketeer,5.2,2001/9/7,2001,153.381523
40000000,141069860,Shallow Hal,5.7,2001/11/1,2001,1334.885795
45000000,92374674,Four Brothers,6.7,2005/8/11,2005,1628.16275
45000000,38058335,The Producers,6.1,2005/12/25,2005,1709.012399
45000000,50871113,Unleashed,6.6,2005/2/2,2005,3205.093729
45000000,56070433,Kicking & Screaming,5.6,2005/5/13,2005,1022.904939
52000000,216485654,Valentine's Day,5.7,2010/2/10,2010,928.7063623
52000000,52826594,From Paris with Love,6.1,2010/2/5,2010,3126.637734
41000000,215000000,8 Mile,6.8,2002/11/8,2002,157.292828
60000000,30418560,Mortdecai,5.4,2015/1/21,2015,8358.143983
60000000,101134059,Joy,6.4,2015/12/24,2015,4174.07365
20000000,187884007,Jaws 2,5.9,1978/6/16,1978,1707.295543
50000000,40828540,Gamer,5.6,2009/9/3,2009,1363.574521
50000000,106303988,Race to Witch Mountain,5.5,2009/3/12,2009,1018.522013
50000000,60161391,The International,6,2009/2/3,2009,1127.715964
50000000,12764201,Street Fighter: The Legend of Chun-Li,3.9,2009/2/27,2009,708.3240897
50000000,155446362,Knowing,5.9,2009/3/19,2009,3469.649525
50000000,36348784,The Boat That Rocked,7.2,2009/4/1,2009,1348.762966
50000000,709827462,The Twilight Saga: New Moon,5.6,2009/3/15,2009,810.232579
33000000,327311859,Se7en,8.1,1995/9/22,1995,1436.36325
35000000,126216940,L.A. Confidential,7.7,1997/9/19,1997,1202.559372
35000000,41954997,Donnie Brasco,7.4,1997/2/27,1997,1377.220521
35000000,25105255,Midnight in the Garden of Good and Evil,6.3,1997/11/21,1997,0
56000000,19701164,Broken City,5.7,2013/1/18,2013,3142.883567
37000000,48451803,Magnolia,7.5,1999/12/8,1999,529.9772358
25000000,38748395,Little Shop of Horrors,6.6,1986/12/19,1986,0
25000000,11000000,Big Trouble in Little China,7.1,1986/5/30,1986,372.2577443
25000000,79817939,The Golden Child,5.6,1986/12/12,1986,1037.676666
40000000,22433915,City By The Sea,5.7,2002/9/6,2002,2371.674478
40000000,8493890,Big Trouble,6.3,2002/4/5,2002,1871.318831
40000000,18902015,FearDotCom,3.2,2002/8/9,2002,211.6286248
40000000,10959475,Extreme Ops,5,2002/11/27,2002,228.6424916
40000000,16872671,Life or Something Like It,5.7,2002/4/26,2002,1118.950086
45000000,184376254,Inside Man,7.3,2006/3/23,2006,2592.073866
45000000,82800000,Firewall,5.6,2006/2/10,2006,7137.995039
45000000,38399961,Last Holiday,6.4,2006/1/13,2006,981.8493641
45000000,178262620,Scary Movie 4,5.3,2006/4/13,2006,400.4402763
52000000,75450437,The Change-Up,5.9,2011/8/5,2011,1047.597019
22000000,77737889,Gandhi,7.4,1982/11/30,1982,0
55000000,9489829,Bullet to the Head,5.2,2013/1/31,2013,2793.542555
55000000,110000000,Free Birds,5.7,2013/10/30,2013,3633.409379
55000000,95000000,Captain Phillips,7.6,2013/10/10,2013,8984.948853
60000000,205754447,London Has Fallen,5.8,2016/3/2,2016,3898.148327
42000000,171963386,Along Came Polly,5.8,2004/1/16,2004,1493.6708
58000000,158162788,Goosebumps,6.2,2015/8/5,2015,3056.320078
20000000,35841901,The Black Hole,6.1,1979/12/18,1979,106.9703646
50000000,83761844,Marmaduke,5,2010/6/4,2010,2358.501679
50000000,105197635,Hereafter,5.8,2010/10/15,2010,4572.233026
32000000,18552460,The Quick and the Dead,6.3,1995/2/9,1995,1418.930632
43000000,91974818,The Skeleton Key,6.4,2005/7/29,2005,473.2774832
43000000,56681566,Elektra,4.8,2005/1/13,2005,138.815474
43000000,154749918,Monster-in-Law,5.6,2005/5/13,2005,1367.006392
38000000,207283925,The Fast and the Furious,6.6,2001/6/22,2001,964.8372365
25000000,76270454,The Untouchables,7.6,1987/6/2,1987,2168.398307
40000000,244931766,Love Actually,7,2003/9/7,2003,255.0764374
40000000,190212113,Cheaper by the Dozen,6,2003/12/24,2003,231.5775337
40000000,160583018,Johnny English,6,2003/4/6,2003,445.900911
40000000,19322135,Duplex,5.9,2003/9/26,2003,2015.232892
